1 20 39 
1 22 43 
4 23 42 
2 23 44 
7 26 45 
3 24 45 
1 23 45 
3 23 43 
1 20 57 
1 22 61 
4 23 60 
2 23 62 
7 26 63 
3 24 63 
1 23 63 
3 23 61 
1 20 75 
1 22 79 
4 23 78 
2 23 80 
7 26 81 
3 24 81 
1 23 81 
3 23 79 
1 38 57 
1 40 61 
4 41 60 
2 41 62 
7 44 63 
3 42 63 
1 41 63 
3 41 61 
1 38 75 
1 40 79 
4 41 78 
2 41 80 
7 44 81 
3 42 81 
1 41 81 
3 41 79 
1 56 75 
1 58 79 
4 59 78 
2 59 80 
7 62 81 
3 60 81 
1 59 81 
3 59 79 
19 38 57 
19 40 61 
22 41 60 
20 41 62 
25 44 63 
21 42 63 
19 41 63 
21 41 61 
19 38 75 
19 40 79 
22 41 78 
20 41 80 
25 44 81 
21 42 81 
19 41 81 
21 41 79 
19 56 75 
19 58 79 
22 59 78 
20 59 80 
25 62 81 
21 60 81 
19 59 81 
21 59 79 
37 56 75 
37 58 79 
40 59 78 
38 59 80 
43 62 81 
39 60 81 
37 59 81 
39 59 79 
